Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
31,1.0,0.0,0.0,516.0,11.0,48.0,1289.0,0.1,46.903291287459325,0.0,0.0,224.32069301605225,,,,,,,,,,,,,,,,,,,,,19.575102485456444,14.956685556480894,46.05575181603769,0.1304535270442595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,539.0,12.0,23.0,1312.0,0.1,14.020554942627125,0.0,0.0,226.9453752040863,,,,,,,,,,,,,,,,,,,,,4.412709632566988,4.847200583841707,13.94694255925403,0.045803782843881646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,563.0,13.0,24.0,1336.0,0.1,15.467368770983537,0.0,0.0,229.97731852531433,,,,,,,,,,,,,,,,,,,,,4.957411337687653,5.286382789107216,15.379133787319883,0.04621507148097353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,601.0,14.0,38.0,1374.0,0.1,32.95654233892489,0.0,0.0,234.36209654808044,,,,,,,,,,,,,,,,,,,,,12.232931281619672,11.06206571322941,32.55677193732603,0.07080224070978014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,688.0,15.0,87.0,1461.0,0.1,92.4247297621032,0.0,0.0,242.8053936958313,,,,,,,,,,,,,,,,,,,,,42.90741711930484,28.031891947075987,88.86943447223365,0.25712406046640346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,750.0,16.0,62.0,1523.0,0.1,69.81984670365526,0.0,0.0,249.39810800552368,,,,,,,,,,,,,,,,,,,,,30.273100284907656,22.078660839238538,68.07900441581822,0.15781487699970953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,800.0,17.0,50.0,1573.0,0.1,44.456126362287485,0.0,0.0,254.6739547252655,,,,,,,,,,,,,,,,,,,,,18.538215902834587,13.35439931820257,43.61640476026151,0.1019039365879248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,827.0,18.0,27.0,1600.0,0.1,15.742486362707083,0.0,0.0,257.9730453491211,,,,,,,,,,,,,,,,,,,,,5.229116078113869,5.295622841303353,15.632549695439183,0.054201826710418295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,856.0,19.0,29.0,1629.0,0.1,17.029828792734122,0.0,0.0,261.77489399909973,,,,,,,,,,,,,,,,,,,,,5.564008837343649,5.594474667337616,16.90226015450001,0.07608703787665105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,908.0,20.0,52.0,1681.0,0.1,38.10896740861544,0.0,0.0,267.3820204734802,,,,,,,,,,,,,,,,,,,,,13.80604278758079,11.750015689951988,37.46594761293949,0.11842559478676565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
